1024 65536
925 577 513
531 90 246
534 997 111
905 736 387
46 975 532
872 155 451
63 640 124
669 596 235
844 426 179
255 400 253
496 27 434
762 693 197
85 176 821
710 182 459
534 58 518
627 475 263
194 706 1011
848 561 539
944 802 773
519 255 528
578 154 974
650 784 340
59 793 163
396 419 163
1003 574 982
904 708 930
856 799 855
639 73 455
528 470 795
436 87 314
547 792 887
660 906 532
589 656 360
532 195 640
850 320 499
420 584 1014
156 1005 545
223 346 817
429 203 983
232 561 886
86 245 554
126 771 223
146 631 48
413 246 160
380 143 149
790 880 645
143 704 531
252 903 97
398 533 493
444 808 175
26 568 199
364 580 207
296 208 829
715 517 315
609 837 374
618 547 654
220 392 193
792 453 614
861 338 803
307 661 828
128 81 91
629 577 951
660 461 434
757 809 997
512 273 406
214 483 24
738 327 461
377 10 533
352 265 416
920 639 608
537 990 188
680 715 659
308 14 245
12 289 992
444 524 393
375 180 847
840 59 651
549 961 996
517 686 636
442 852 10
629 124 101
586 286 670
333 36 673
546 449 79
246 631 28
942 484 641
577 902 440
327 301 741
827 868 643
77 548 636
904 454 426
103 896 386
732 327 267
58 49 222
397 120 393
514 715 1007
222 554 437
163 389 512
817 562 25
926 371 247
894 759 397
846 569 496
607 747 562
664 249 504
100 514 291
194 355 792
877 313 107
841 420 949
986 581 279
548 999 903
351 92 411
237 75 114
0 296 885
603 722 517
29 1017 215
938 461 270
619 271 716
807 72 357
163 648 178
444 638 429
42 256 344
206 677 546
133 399 928
446 914 419
672 737 639
654 421 363
669 685 869
1005 925 12
375 232 209
966 524 241
729 107 64
361 422 52
141 378 916
329 394 765
366 330 167
255 892 630
29 5 883
901 431 771
510 47 796
827 535 646
779 181 202
704 841 113
657 1015 668
683 70 519
721 61 971
638 525 816
976 157 541
925 352 770
865 357 949
958 427 818
841 931 295
102 492 339
793 66 621
970 117 119
904 400 443
1006 590 489
334 182 172
372 765 770
963 129 245
585 928 894
478 514 635
648 686 134
332 940 381
452 167 846
890 829 422
817 253 780
857 132 395
831 441 205
279 902 984
1019 632 307
252 969 919
636 84 954
873 997 789
741 740 673
592 507 840
673 736 255
106 49 862
240 350 927
1001 495 109
241 268 468
991 621 965
169 576 337
135 964 985
399 17 722
974 651 145
206 193 653
545 272 390
964 463 293
280 748 787
781 896 979
239 216 401
482 582 373
415 942 916
311 990 710
857 734 139
1006 30 91
792 450 993
130 299 323
103 669 833
67 964 843
623 746 455
685 600 103
369 302 757
54 707 331
125 443 493
785 254 626
61 741 940
1000 140 198
641 648 127
132 530 836
350 955 755
602 276 467
336 875 926
69 749 386
105 866 880
855 720 395
52 980 658
590 8 205
360 442 414
68 634 352
563 466 900
775 320 413
800 516 125
800 12 533
505 314 301
922 486 163
601 52 411
908 744 133
1014 533 680
735 772 415
392 334 320
549 1023 890
254 430 963
169 362 18
1021 8 165
470 1010 595
742 167 751
160 6 501
305 394 436
123 641 329
42 83 108
243 448 824
739 806 637
584 804 53
720 72 991
444 737 851
131 830 1019
372 941 884
88 987 129
999 958 912
686 325 950
1012 307 1023
931 692 615
145 153 93
962 288 486
834 159 858
99 220 843
907 559 869
146 332 361
734 900 601
309 399 179
333 142 265
5 72 867
967 511 162
861 183 540
319 523 701
737 102 39
530 975 713
565 612 678
259 706 152
425 556 400
254 811 571
311 712 570
896 863 249
796 970 489
121 173 217
638 795 123
334 409 614
340 567 159
307 962 956
388 962 834
639 799 843
932 110 643
73 227 361
422 871 1020
157 558 610
507 210 576
783 543 276
446 125 142
609 78 442
436 585 961
901 715 350
716 631 277
959 869 701
983 888 1004
367 329 981
342 312 55
606 596 725
402 384 289
860 924 895
830 501 894
423 833 850
609 83 597
784 597 244
998 148 27
82 396 793
957 640 780
167 823 994
301 931 910
740 864 660
295 313 700
130 350 906
42 749 674
354 201 883
334 526 286
835 388 440
684 49 342
67 53 66
290 517 255
517 580 210
311 1000 571
823 313 221
757 591 352
311 209 385
511 533 174
153 966 510
837 902 326
865 837 123
136 143 859
401 32 697
288 587 426
517 630 224
572 909 742
65 525 548
226 380 31
200 693 3
208 736 804
296 559 123
982 355 454
817 189 145
549 597 972
600 895 499
179 420 563
372 164 317
594 468 584
810 328 145
851 686 237
910 32 498
800 121 553
80 779 714
377 913 754
815 229 399
696 179 491
459 130 68
192 196 924
17 123 866
247 807 302
328 717 546
161 873 738
505 640 514
651 268 1023
110 987 121
172 195 694
931 821 547
378 703 421
71 95 28
791 316 950
454 396 283
153 346 527
906 981 872
594 44 153
625 621 214
547 834 717
922 947 919
358 744 684
326 93 540
636 652 67
85 496 183
860 815 798
107 789 486
364 264 994
433 740 188
51 597 503
190 715 52
342 379 192
759 1005 400
813 264 164
829 1016 679
74 736 5
523 125 75
659 981 940
990 175 333
474 63 847
439 828 301
252 686 694
885 67 211
72 435 975
124 299 420
974 536 59
124 186 834
943 708 662
147 298 839
771 495 321
805 118 195
285 786 331
774 826 990
284 561 435
396 29 108
41 436 791
304 456 712
94 522 516
368 41 164
516 791 206
1022 815 325
26 873 594
335 103 394
501 129 134
134 413 553
618 893 304
438 743 720
947 748 349
4 397 705
138 578 779
955 768 23
473 459 30
205 382 557
206 782 770
733 252 988
283 484 277
146 959 525
905 55 727
974 777 725
57 436 649
691 861 602
617 532 476
851 421 353
203 521 883
697 812 124
337 866 878
121 243 308
511 453 115
915 599 353
801 272 469
330 796 82
260 611 9
290 213 964
70 176 826
765 623 429
480 810 161
555 426 654
349 375 904
460 459 446
323 272 922
914 734 186
100 970 634
474 698 955
945 169 775
507 748 563
837 884 244
353 267 1014
147 1014 996
940 360 197
223 942 696
878 340 1001
29 501 679
966 826 853
669 311 387
51 352 633
352 975 23
408 804 242
676 969 437
598 117 28
913 900 883
919 163 808
705 773 701
266 938 863
823 840 373
741 144 512
986 256 977
165 531 616
733 873 324
129 248 141
738 930 139
745 121 693
403 352 999
986 689 490
938 635 572
692 720 266
469 658 997
914 344 81
75 608 946
172 813 634
112 240 218
965 628 964
819 314 265
836 929 668
347 566 136
895 563 409
887 1013 737
906 206 1021
371 59 354
76 341 148
759 154 726
171 491 213
701 1001 232
742 717 991
554 307 440
538 757 691
999 326 215
203 462 476
457 343 134
32 173 239
645 17 5
191 773 713
417 198 412
207 986 420
604 577 239
544 321 550
1003 995 211
713 111 722
94 273 107
462 490 168
308 782 556
84 380 535
707 342 685
132 78 892
486 611 727
568 279 442
815 11 551
16 663 795
503 92 935
630 421 523
235 404 930
418 788 811
743 153 300
687 315 836
996 984 640
476 496 942
889 334 976
417 523 314
820 366 927
419 345 717
650 745 480
1005 54 834
48 913 239
566 264 771
917 471 1022
201 788 160
266 513 32
74 900 906
299 832 77
722 464 183
82 1010 958
653 135 409
863 753 145
628 395 390
18 40 233
917 322 454
760 876 765
517 884 39
411 363 827
341 826 723
866 44 773
936 612 786
181 759 1014
374 413 706
89 1019 504
736 254 914
120 614 588
904 790 190
167 1023 278
114 538 120
312 478 345
184 134 877
301 556 891
554 933 187
749 710 711
480 911 811
364 378 441
703 56 792
172 199 1018
696 195 765
950 501 697
631 457 125
888 940 505
165 984 921
523 821 829
422 17 1023
687 533 224
932 475 22
981 859 595
109 287 25
954 419 636
792 839 778
356 677 294
197 642 390
751 195 608
812 200 283
659 517 653
138 534 187
858 1014 989
764 845 882
132 708 311
370 499 496
252 190 654
977 481 25
414 671 855
39 982 96
718 0 1019
87 976 396
484 719 679
964 853 484
62 813 585
254 728 981
189 844 994
88 221 152
412 380 312
913 350 321
687 618 13
295 981 799
374 38 434
105 878 802
288 458 668
632 525 219
683 573 848
700 184 355
979 658 1018
841 657 481
133 1001 126
46 85 118
1006 667 371
246 362 513
383 1011 406
292 747 211
943 388 189
15 644 52
893 906 222
813 734 776
677 414 296
260 571 132
765 370 256
190 29 459
548 995 597
46 493 785
778 323 767
1010 981 529
618 355 429
368 651 452
821 455 506
681 588 701
319 203 384
634 1009 208
475 352 195
865 196 726
867 126 650
723 760 777
251 236 15
169 849 137
920 15 820
268 44 304
376 514 671
824 664 481
518 749 104
912 249 193
289 608 546
690 302 269
539 187 902
463 295 870
637 293 603
236 4 671
413 942 489
193 647 663
147 577 910
262 893 164
556 672 447
733 678 149
948 17 522
815 728 80
554 729 48
151 629 418
239 197 630
592 337 618
504 643 340
44 905 143
140 740 603
540 303 1012
872 787 441
449 15 116
686 344 642
710 579 95
410 625 363
935 1010 136
171 950 989
448 66 859
85 451 429
49 24 204
481 91 845
106 299 785
611 723 695
921 855 426
246 1009 994
751 956 507
796 369 890
339 299 490
857 351 633
3 418 156
961 706 742
503 127 449
3 984 736
795 147 989
847 1019 714
99 375 911
489 270 528
260 513 1
660 361 93
861 532 427
864 90 362
988 783 410
129 457 144
257 580 164
911 446 34
904 999 951
97 762 119
554 654 452
388 845 888
919 668 509
13 721 221
746 755 866
545 529 645
460 214 558
631 824 401
211 174 806
971 576 123
557 125 216
891 394 947
614 1015 493
565 708 547
191 722 192
52 519 824
52 117 470
987 991 479
300 518 506
464 768 31
591 671 248
301 215 486
224 846 312
436 949 735
817 697 193
639 332 533
296 656 240
668 370 986
990 69 1009
313 194 334
1023 852 396
747 565 767
623 58 988
786 482 142
227 523 976
63 328 911
572 22 960
535 877 443
623 600 496
510 379 707
435 482 297
96 449 934
811 386 656
3 671 763
601 344 942
410 298 651
456 693 964
973 163 155
365 147 833
867 334 111
819 649 38
339 608 973
476 719 910
831 529 874
784 109 848
93 125 399
250 278 849
472 1017 762
97 125 584
590 748 771
888 344 127
751 430 184
513 633 873
669 803 134
134 1005 169
907 339 925
555 916 998
733 874 494
704 153 527
18 762 134
124 668 50
903 695 373
712 884 5
179 599 735
526 157 539
323 359 121
591 523 675
912 883 719
227 426 226
605 73 303
110 365 91
514 306 334
917 283 827
950 498 143
1001 75 799
694 1017 960
767 185 881
429 425 1000
720 305 526
306 692 189
234 902 725
840 707 184
357 983 928
633 760 9
173 128 722
840 78 1015
161 700 969
20 838 531
709 340 418
938 521 716
838 253 231
551 915 317
724 752 170
291 949 255
986 722 713
392 168 473
2 852 37
201 837 355
720 371 136
137 295 817
118 37 909
169 257 407
793 7 734
313 461 889
1022 461 827
489 268 871
245 700 361
244 216 513
220 150 974
563 503 48
453 329 294
376 665 469
217 448 503
840 116 830
604 123 169
678 614 627
708 1013 420
342 804 627
198 599 8
587 149 441
652 572 938
230 697 957
296 763 892
48 77 170
127 875 379
976 512 769
55 483 712
931 907 169
12 224 309
134 97 808
588 989 25
73 750 554
441 629 448
464 736 484
991 161 724
911 274 168
156 844 801
404 542 534
968 782 726
576 593 858
918 595 385
898 937 35
771 744 579
670 576 364
950 968 892
535 259 703
649 306 657
1019 78 32
530 848 293
125 806 545
554 409 1022
175 129 661
796 501 240
56 538 232
831 882 330
153 512 364
102 635 443
102 416 478
382 481 882
416 430 714
576 687 969
102 370 403
22 524 217
792 832 116
185 139 800
764 43 503
879 219 221
568 654 836
157 577 528
156 662 313
684 729 140
703 745 796
945 450 183
163 965 832
84 154 169
981 273 0
929 648 864
264 122 183
603 895 918
806 346 875
767 119 595
911 167 90
93 686 20
906 180 541
41 185 700
495 330 116
211 418 768
201 587 885
284 963 587
359 284 613
472 622 919
215 863 615
472 288 396
213 551 867
640 945 667
720 168 157
557 14 71
6 126 327
500 315 617
588 1000 47
777 378 111
231 973 735
908 797 579
670 769 591
734 806 840
714 956 542
953 352 879
374 989 1018
387 460 530
855 250 413
18 1000 829
82 157 171
168 890 793
254 571 435
661 392 545
2 562 296
716 708 536
154 260 262
245 976 222
713 117 730
39 456 84
850 983 854
209 745 903
82 251 203
622 293 199
136 821 34
767 930 611
412 861 158
112 5 576
856 200 368
932 537 770
663 353 274
424 846 941
562 640 321
749 693 713
916 832 348
400 222 519
310 914 28
964 603 585
52 24 406
11 733 198
594 767 679
713 165 638
479 348 79
356 702 450
786 826 736
142 769 59
306 1015 316
953 940 479
660 415 281
973 737 427
462 440 695
559 281 698
765 485 94
323 357 47
135 597 880
36 931 754
159 80 557
837 341 450
67 233 715
463 448 838
446 106 547
906 872 208
507 138 413
595 71 664
325 119 190
231 202 339
617 305 892
65 636 69
65 156 468
838 959 487
247 132 814
10 536 975
160 174 261
759 292 192
901 843 689
563 273 57
454 1012 675
491 961 639
1000 609 0
795 35 237
649 963 799
933 978 502
520 415 676
654 133 179
291 88 33
782 241 622
264 499 497
205 654 280
337 837 710
536 360 111
698 474 513
270 330 721
62 602 212
620 816 6
908 758 785
170 224 999
988 1001 953
791 646 148
237 440 247
549 674 248
854 820 583
704 688 741
356 262 587
183 665 886
240 177 835
301 29 792
1001 811 55
685 521 585
642 475 393
671 240 0
212 419 358
368 37 315
421 979 11
352 613 972
1007 861 65
440 176 830
651 683 206
113 787 432
110 841 825
338 228 718
677 38 330
1014 595 774
393 75 597
8 345 560
80 579 139
503 648 504
293 706 866
132 432 604
868 244 761
981 1007 972
640 164 910
32 591 929
904 41 500
520 393 981
429 802 909
439 878 596
82 597 182
791 63 616
153 188 871
455 753 672
739 398 872
760 641 0
68 889 118
771 239 254
531 577 957
49 389 930
993 640 359
921 947 156
490 151 133
839 900 318
830 985 438
328 19 348
12 148 888
637 180 751
444 110 390
171 690 907
510 200 320
859 495 623
70 204 639
195 71 563
368 491 386
776 187 966
270 473 10
475 205 261
549 101 39
