1024 16384
483 648 313
96 1001 933
139 439 125
302 27 284
877 663 191
435 477 617
397 1007 260
496 85 624
944 217 894
745 486 970
231 696 970
970 708 52
605 451 209
101 350 390
756 896 782
229 830 649
901 190 350
450 467 881
965 749 807
247 889 869
829 848 538
955 705 639
683 234 679
220 80 336
106 995 983
757 23 696
947 542 168
551 124 308
243 149 800
234 261 730
833 685 355
928 118 499
751 130 359
775 801 638
184 331 181
338 504 316
536 869 542
136 247 227
460 339 271
317 826 188
941 54 412
1005 153 1018
963 404 468
257 447 830
318 497 986
678 485 91
318 425 258
844 392 196
11 228 538
977 205 403
428 477 132
386 813 125
99 6 65
944 461 482
1007 1004 549
614 863 252
191 493 1008
671 447 1010
91 165 16
403 278 393
884 116 237
606 101 23
98 180 27
407 428 218
750 204 669
330 80 106
484 810 846
201 295 983
209 949 761
770 912 747
836 1002 655
485 640 154
932 677 151
432 848 814
1021 865 266
21 455 992
484 477 648
812 915 743
794 759 320
188 303 125
231 986 706
151 621 642
742 84 377
73 292 544
237 490 92
302 350 687
661 685 415
897 981 274
416 649 514
411 527 772
896 841 952
954 701 194
650 155 861
523 842 793
996 690 620
36 434 877
185 241 819
525 595 405
794 13 960
442 317 278
756 484 152
239 979 163
778 168 845
513 854 637
205 998 629
317 748 950
276 546 731
27 605 243
363 990 777
105 800 71
146 82 547
67 662 347
977 986 338
192 472 727
20 838 14
293 346 636
937 276 393
335 612 921
956 522 1007
657 628 342
69 1015 476
981 170 915
109 148 348
404 221 117
344 30 1003
891 40 649
407 945 286
114 31 869
834 1002 319
395 665 283
468 146 803
173 605 185
745 241 523
299 121 135
156 782 901
457 479 559
414 212 658
393 739 573
141 648 725
992 93 169
439 687 266
637 45 376
674 820 816
659 459 657
500 6 138
382 161 135
782 944 772
564 971 229
989 569 521
362 590 794
480 469 1001
855 747 1008
326 663 778
151 351 446
529 687 350
825 397 696
277 77 912
67 243 808
523 458 446
224 275 554
94 482 18
638 878 797
511 729 38
422 625 219
58 926 446
996 937 800
388 832 512
953 839 1013
722 403 500
72 827 362
626 691 138
546 654 339
653 322 153
432 989 95
426 769 698
922 261 110
654 588 629
493 127 759
299 498 587
208 706 138
77 267 146
661 342 309
737 389 445
706 796 937
422 878 675
849 122 63
445 145 566
553 177 513
67 460 787
488 413 252
875 354 114
389 614 424
985 722 210
847 385 784
310 184 807
345 916 819
641 850 464
536 390 634
790 472 939
916 746 925
22 965 912
957 900 856
920 50 540
142 381 114
50 901 254
369 173 439
829 314 474
315 124 98
614 771 494
858 987 659
964 915 905
808 139 200
260 395 780
203 16 387
420 116 180
160 939 94
452 737 852
637 578 415
566 236 806
281 18 11
86 806 824
1014 163 593
517 810 931
670 796 44
63 927 680
99 688 913
827 125 220
101 40 315
239 267 762
490 950 781
889 909 373
1004 420 877
222 649 383
241 187 488
668 156 343
501 786 895
298 249 1024
633 61 683
420 164 647
924 80 127
491 944 638
107 21 480
399 146 65
612 287 259
216 97 261
928 695 392
518 571 133
323 146 27
426 160 273
384 254 854
351 729 872
596 386 892
918 799 173
13 10 783
990 463 245
311 243 459
486 451 302
230 341 956
352 725 605
848 257 499
133 572 918
411 331 718
123 95 940
973 793 561
863 781 972
351 636 39
72 738 390
876 882 294
323 235 202
200 86 820
455 853 772
969 704 411
885 874 111
140 904 967
412 19 478
812 367 562
510 976 244
259 353 498
901 375 781
1004 191 278
986 1004 509
598 52 277
503 783 931
71 531 890
176 475 501
993 953 701
555 156 327
498 999 429
214 984 371
392 684 163
883 640 209
628 688 391
1023 352 82
935 644 754
735 823 464
599 136 429
831 1010 879
803 976 645
874 931 825
829 962 336
778 615 722
926 779 405
814 478 924
24 127 17
561 857 46
885 509 302
1018 345 833
730 991 920
992 648 331
881 746 209
738 739 1013
20 497 278
3 602 692
678 112 468
959 348 280
95 876 136
1 271 433
689 349 857
135 713 215
808 904 945
676 693 669
992 193 242
366 916 561
84 130 874
113 490 1008
782 678 834
541 883 757
451 818 357
804 238 1014
694 41 34
532 127 37
428 663 755
508 661 542
505 739 622
835 539 407
323 914 1
661 724 240
654 1022 931
668 324 60
202 488 952
578 106 25
494 935 328
623 133 293
897 675 586
968 773 43
510 399 34
209 754 305
180 311 24
545 769 472
467 39 491
253 866 397
937 146 482
374 208 836
652 795 361
913 89 292
295 938 663
722 82 464
353 479 404
414 649 421
29 342 636
832 201 253
849 3 442
524 626 487
638 875 334
847 70 897
211 12 521
957 782 923
811 132 993
904 337 381
734 544 261
814 178 767
128 996 625
65 195 323
268 647 264
645 642 516
