1024 131072
398 854 220
509 481 905
6 3 361
851 129 335
737 755 457
476 536 4
525 24 204
730 681 909
137 785 115
762 567 70
694 933 939
41 885 796
441 224 7
519 142 358
102 705 890
494 176 120
164 884 466
642 693 42
519 661 605
275 784 375
3 147 878
978 812 159
646 964 412
163 190 862
939 261 498
797 406 342
81 799 610
438 664 408
535 940 781
572 297 819
297 628 509
472 756 498
668 319 804
871 326 565
213 30 289
500 965 373
745 946 422
977 143 504
570 894 602
57 413 646
798 751 85
644 913 1009
460 593 776
687 809 265
205 833 77
999 105 791
817 3 471
419 114 992
430 997 721
625 257 186
487 451 277
615 332 638
415 305 953
241 676 422
309 959 362
670 819 827
616 811 498
626 303 546
658 996 276
823 744 801
199 97 574
565 551 646
997 173 163
398 392 780
804 259 388
95 1018 633
71 619 173
428 456 811
369 681 372
564 785 458
179 477 767
763 166 506
751 408 468
903 778 438
636 589 261
816 313 505
933 552 519
938 602 227
103 300 947
615 835 353
429 99 775
576 791 110
1020 33 733
675 212 10
897 1018 587
617 696 666
673 236 577
251 678 51
680 838 652
416 45 795
618 134 128
440 675 964
764 999 508
485 939 36
271 159 305
296 932 300
300 980 94
1011 961 500
213 389 636
201 781 201
194 888 149
995 279 1005
786 853 368
680 82 706
971 1015 455
316 3 253
398 898 555
121 1004 149
718 475 396
258 40 942
799 579 999
582 418 50
639 963 658
941 280 694
279 629 796
159 791 465
856 964 178
11 741 519
840 14 910
85 849 756
561 778 948
891 98 579
916 137 370
126 838 377
490 955 758
258 856 399
86 213 809
505 751 366
312 482 933
217 404 232
801 747 382
647 348 201
133 750 244
451 1 328
626 642 1014
513 914 174
573 635 651
495 208 28
10 201 253
668 963 325
82 1016 835
946 211 421
139 675 997
731 257 269
589 965 700
732 647 818
1022 539 484
788 313 992
828 907 1012
96 983 644
862 413 95
566 768 261
316 208 127
521 911 59
842 273 923
932 183 380
826 633 634
533 656 488
596 830 716
487 13 417
130 112 438
977 452 177
459 973 62
524 543 718
399 171 861
728 451 483
916 110 613
155 765 889
525 344 190
103 890 412
995 540 727
285 968 724
198 237 388
255 57 671
520 983 442
663 724 696
602 202 339
883 105 523
649 196 183
598 625 652
994 340 247
755 487 410
402 25 596
562 448 324
354 554 252
622 302 68
418 579 1006
503 675 939
302 419 726
857 1000 838
1008 281 983
999 863 33
199 573 3
31 527 653
258 112 325
713 412 158
338 713 333
801 450 559
552 1013 40
681 25 515
30 89 643
835 74 524
40 569 137
519 667 426
424 24 700
384 470 400
460 144 291
924 256 74
544 148 629
759 146 208
620 941 322
711 725 290
177 672 339
278 786 898
408 283 397
685 865 782
158 7 889
476 757 255
49 29 113
900 251 302
990 10 525
699 813 265
858 827 394
881 236 856
595 268 517
968 178 698
679 855 66
903 454 844
126 57 177
374 71 85
419 276 712
1010 911 940
846 998 142
850 134 712
179 399 332
501 801 78
579 166 293
930 771 861
69 830 857
418 41 365
445 906 776
159 454 696
3 894 650
146 665 574
869 472 511
955 701 59
476 696 178
117 312 498
764 189 220
1002 756 959
614 320 514
666 529 302
772 530 244
903 744 608
18 514 174
504 60 491
607 468 217
738 751 30
265 297 759
383 276 558
242 454 962
485 850 341
859 1001 240
370 646 300
239 676 892
284 606 5
258 815 903
248 352 936
492 381 427
169 529 91
887 953 776
625 6 350
738 420 548
157 774 66
59 104 514
665 672 721
785 755 184
777 956 669
374 557 551
839 730 554
364 989 405
712 647 628
208 777 406
549 262 112
355 642 15
178 672 681
863 248 323
44 322 266
992 905 482
952 440 535
774 777 524
556 160 1023
914 881 53
916 862 250
289 475 256
898 551 445
529 997 36
370 591 542
366 951 308
182 189 352
93 811 447
210 123 1002
866 998 945
641 603 463
541 756 697
930 922 227
806 299 193
798 398 741
573 387 752
398 613 93
6 462 996
804 152 414
11 782 271
256 400 142
353 20 191
85 487 252
977 886 592
834 299 749
619 584 832
120 65 761
88 731 121
77 99 986
883 154 894
945 303 161
41 646 529
201 227 368
955 739 964
504 70 893
369 116 763
118 169 952
1022 512 95
628 468 673
532 691 973
955 741 679
386 345 423
417 614 886
436 449 502
141 556 801
407 557 167
607 872 578
522 866 108
541 140 413
52 121 852
89 1002 374
904 611 53
452 832 320
582 523 250
106 930 755
764 940 130
124 907 575
145 973 732
88 646 575
152 57 748
116 697 720
583 795 676
618 791 906
774 274 743
573 187 783
333 928 20
422 181 498
937 775 596
219 675 659
513 908 234
846 726 867
399 466 233
955 710 877
257 903 88
259 166 759
965 878 184
343 179 61
107 884 415
135 496 352
730 11 651
342 711 679
33 943 653
480 722 832
158 299 132
344 256 567
101 292 966
372 978 923
140 773 617
588 900 822
486 284 817
549 287 978
317 146 510
1 1023 923
644 869 253
42 454 800
214 483 737
467 757 148
395 605 180
201 317 55
350 875 400
950 188 794
1011 524 706
528 435 80
812 573 456
678 1016 736
238 241 792
811 283 655
452 88 727
286 382 966
444 583 905
876 617 91
333 9 891
817 676 958
133 2 555
456 103 355
867 128 511
759 489 534
439 502 972
1007 138 231
446 159 166
223 424 58
235 483 894
675 493 168
565 548 869
344 531 210
284 875 587
44 499 431
931 551 827
158 380 920
693 313 127
926 391 698
747 990 744
800 812 160
92 34 988
198 338 72
576 633 326
929 915 277
887 23 605
544 588 410
459 547 72
241 578 321
329 146 381
127 416 1008
25 937 718
132 993 871
485 868 184
183 182 472
491 606 102
678 896 215
971 195 82
243 972 568
165 300 17
226 448 589
140 768 602
568 186 797
761 725 480
339 265 797
