1024 32768
842 859 899
754 8 588
550 462 796
220 512 -340
1000 166 760
70 289 989
298 872 -726
212 976 -667
19 781 -488
375 372 762
920 87 449
30 783 -43
711 102 -752
849 770 670
392 177 -356
988 21 1007
599 582 555
256 36 -553
832 20 -1021
222 1011 114
524 418 -903
874 540 -144
562 986 116
341 197 -258
484 294 -147
527 133 -575
550 427 -424
88 726 -972
142 745 386
132 955 19
445 183 -999
134 349 299
393 238 148
335 227 602
474 122 144
555 507 494
203 937 -836
597 515 870
65 78 142
158 961 17
342 755 -529
187 346 -279
789 1011 -110
414 782 102
58 50 262
443 1020 1013
571 101 -358
421 516 905
1001 694 -628
199 735 -226
773 956 893
333 739 -664
698 697 -214
48 353 -611
220 591 -151
699 778 -64
669 277 -987
36 555 805
829 139 335
432 450 263
48 54 781
47 60 -515
828 497 -138
349 881 503
717 382 286
489 530 166
536 281 685
832 27 8
614 403 918
795 573 205
770 880 635
185 743 142
183 493 799
618 221 -1005
507 99 -509
922 750 972
380 713 242
453 851 -943
671 604 537
961 892 -724
916 363 -15
10 36 -105
794 329 966
794 475 -454
849 570 110
790 278 -798
369 246 590
879 189 -161
965 357 -110
161 359 -215
994 430 -779
879 884 -133
550 654 556
460 759 -969
688 523 -865
623 98 -794
505 797 798
2 683 -265
440 935 -1019
578 417 15
34 803 -814
325 657 -184
460 890 -547
833 553 1013
750 873 502
462 105 -414
672 854 -931
291 216 -151
990 75 428
571 66 905
412 795 795
422 987 736
520 888 -833
567 61 -978
192 787 688
853 152 -287
503 443 281
948 219 -743
267 700 -987
498 110 785
310 806 628
27 851 -696
249 29 923
611 59 466
459 383 -786
268 496 47
384 670 -644
56 524 -173
83 157 389
737 731 905
951 941 188
495 409 206
162 818 -71
710 711 -396
657 588 -437
99 217 39
53 550 -669
455 250 -957
987 103 -567
484 392 -1
378 1013 480
688 264 345
562 811 457
76 377 -908
230 959 375
300 333 -877
334 900 357
383 220 -777
1022 100 18
124 484 394
702 442 418
309 1023 700
28 415 275
11 914 -930
176 16 812
934 521 -96
464 884 219
58 62 537
306 308 -818
869 862 -596
721 295 -358
340 367 -102
28 64 -340
388 855 -944
88 486 -693
336 914 -755
134 843 159
435 948 1014
267 380 -86
60 150 -611
116 720 638
418 995 718
978 685 407
76 367 919
45 883 351
793 559 -821
751 743 182
924 547 446
658 886 57
1014 366 603
501 441 -301
151 409 455
982 998 217
493 778 520
431 453 637
593 654 931
152 653 308
