1024 16384
446 66 534
899 733 -277
238 900 240
56 167 -792
624 744 845
331 715 -210
879 893 679
664 113 732
581 826 628
667 580 964
214 192 1023
213 1023 -943
696 431 657
72 824 873
295 803 -953
974 79 981
60 317 -636
160 218 411
850 521 -373
620 71 213
700 983 -22
354 44 747
692 292 32
743 320 -367
1015 30 486
668 477 -757
3 326 4
525 961 -362
994 643 -779
475 896 109
883 288 545
190 36 -962
579 550 317
1004 187 321
458 316 611
257 511 -446
749 962 -404
112 583 -553
461 814 -724
751 911 687
512 809 -711
456 53 352
252 150 -576
726 219 413
880 800 -866
15 590 875
50 114 -679
907 261 -631
943 780 965
427 963 361
762 120 -258
530 1023 -117
838 332 -455
40 644 425
369 959 12
787 508 959
731 809 752
566 727 -406
81 771 -621
86 211 -296
236 935 -138
914 245 857
32 966 897
949 715 725
48 832 -421
41 527 -356
118 1003 438
420 357 861
792 868 -41
447 880 -809
21 216 313
612 153 -494
939 382 -845
783 779 584
336 284 -998
286 272 15
968 692 -836
956 857 -232
166 593 -536
602 740 -358
428 496 -466
957 579 896
545 827 -348
321 660 117
789 933 -132
100 219 -789
226 402 817
904 256 -793
674 974 99
615 216 -104
658 231 -323
777 767 -119
765 189 -69
480 544 960
434 530 -1000
242 96 -3
235 72 -655
32 87 -100
149 764 637
383 644 -681
315 364 -581
560 953 -273
539 56 -471
6 194 304
312 83 1016
707 855 304
344 162 173
205 941 -78
852 50 905
125 634 755
967 721 -678
690 383 177
264 438 -787
815 494 250
862 53 -25
359 154 -780
422 602 427
947 590 446
332 1001 -287
111 850 349
385 218 -564
725 316 828
629 235 -9
939 113 865
788 554 343
511 567 388
102 10 -170
341 431 -224
709 958 413
177 297 519
969 537 -188
848 1023 -583
615 188 -587
965 817 688
75 178 -549
418 291 159
740 831 609
543 371 -742
862 68 879
530 342 91
576 514 16
849 360 710
853 609 618
17 691 -4
185 186 877
745 299 -287
572 289 289
543 646 342
795 957 -636
417 67 631
62 37 -721
391 539 737
365 10 -526
345 356 884
329 258 134
580 792 679
566 637 99
233 624 272
713 573 -782
20 214 -52
266 180 569
525 271 -456
253 430 -963
339 945 324
162 990 828
791 818 -682
521 50 324
306 404 883
246 624 592
781 484 -726
839 275 -653
979 596 -584
153 408 617
823 820 -91
763 743 433
341 131 -761
646 1017 255
325 181 -697
690 732 -767
11 945 943
228 840 -116
504 24 -380
462 136 -944
255 698 525
704 815 -896
456 899 546
491 129 964
314 616 367
441 715 -680
704 827 846
870 664 -526
169 27 285
386 977 -340
652 530 241
478 421 371
357 629 842
971 876 518
819 535 -99
191 1016 465
967 146 496
91 506 -647
796 213 10
133 632 -105
828 660 308
169 921 -202
9 734 878
114 43 -828
4 396 717
95 229 -746
235 133 -303
731 741 243
632 503 764
934 341 -198
194 510 -102
244 797 -447
305 937 830
197 1001 86
904 394 -914
248 80 669
53 104 355
434 895 -908
353 59 -248
406 250 -278
684 371 653
167 130 -597
646 517 969
671 804 367
879 710 666
219 930 -519
210 877 698
510 576 280
92 339 -819
65 542 -677
307 438 715
253 453 654
952 669 667
510 464 697
771 900 736
147 405 -187
971 290 -512
860 298 -506
288 811 -493
985 121 201
101 803 229
759 889 602
708 466 245
517 281 -365
960 498 -91
487 856 562
97 986 700
3 702 636
584 254 967
783 962 179
514 908 807
57 468 -341
382 230 291
78 934 1003
118 702 135
962 282 299
841 562 543
570 303 -821
647 544 -118
69 138 21
973 637 594
219 389 -359
65 1018 -734
854 381 490
282 235 -102
99 700 10
87 689 -79
845 580 671
