1024 8192
565 324 557
217 38 -246
231 335 770
51 843 136
238 226 834
176 734 -839
287 18 -824
392 326 720
464 89 377
293 877 326
614 594 733
779 456 112
723 1023 198
759 189 -879
535 496 376
1009 673 862
784 103 -616
379 375 924
767 518 -991
447 24 34
2 430 -410
465 86 41
451 26 608
207 801 -118
557 76 198
380 110 -90
646 22 813
826 359 633
504 367 400
290 191 878
222 818 536
406 823 -386
1021 541 -60
232 312 909
494 993 -674
111 322 376
314 230 828
752 279 624
234 345 -846
1004 444 459
187 331 457
257 240 -67
1016 731 -137
991 118 556
15 439 421
495 880 570
101 753 770
841 775 121
370 663 447
236 977 443
796 316 -688
416 28 940
523 191 -411
221 963 -139
56 195 -230
659 971 981
904 262 539
760 821 -112
83 979 924
857 909 114
218 790 -930
855 897 -480
654 955 -817
931 199 -745
443 561 -683
562 922 -951
735 708 720
333 962 -758
949 913 -20
859 800 867
500 231 -395
21 440 -366
61 607 -214
897 680 -360
320 89 -256
253 311 731
42 80 -464
333 974 -646
801 408 -852
47 558 -24
545 830 105
510 791 -887
60 633 -285
415 870 -803
867 238 -596
724 194 987
217 943 624
9 616 449
395 881 -532
109 506 923
848 171 870
408 888 -751
390 21 863
786 392 533
376 154 735
778 843 -644
209 1022 -897
298 222 511
376 765 -464
975 937 892
628 426 147
365 693 -299
553 103 -845
865 411 782
870 845 810
920 258 -587
109 898 601
121 194 -441
492 332 -42
938 482 181
612 565 -138
418 560 -788
198 83 -725
711 836 813
222 148 4
550 114 760
876 172 674
227 365 -891
607 922 926
675 621 -603
361 338 988
685 808 -243
186 794 931
935 451 135
497 879 1012
624 129 -37
787 416 -800
893 634 -286
609 592 252
23 669 -965
665 101 -208
603 662 -538
888 926 27
992 406 -466
190 494 620
540 28 -818
252 402 243
1023 803 -248
747 948 350
846 633 200
405 50 708
530 822 -130
907 147 323
39 617 -559
729 646 34
261 990 -504
161 779 136
759 971 457
917 818 -426
37 275 606
913 499 -170
997 383 190
1022 197 643
416 247 74
146 645 -505
923 832 828
791 960 -697
852 990 -294
643 806 53
68 520 490
122 992 -155
532 304 -464
410 533 231
495 770 114
775 708 -844
41 67 -336
149 326 -644
168 871 -279
452 200 -266
747 224 489
306 595 -554
898 254 85
1017 96 -643
259 164 -509
406 701 283
301 558 -443
89 121 -418
262 492 21
17 747 -719
673 801 680
98 641 -972
925 449 360
540 826 -556
444 515 -426
783 561 -501
179 538 61
277 974 494
318 946 -391
241 912 594
55 75 1015
994 74 195
728 540 518
88 1016 -852
763 260 -89
768 652 61
276 153 -873
174 937 2
798 29 654
475 623 1006
485 933 -902
587 489 105
909 391 -274
937 922 584
326 455 -731
678 273 -931
555 208 -396
2 318 982
66 848 429
279 1002 506
287 224 624
65 454 421
361 713 -603
906 544 -221
998 160 178
176 554 954
72 230 955
338 816 -767
720 267 -759
192 585 727
790 520 -391
876 53 -626
768 276 -698
898 772 754
717 128 458
633 949 -601
515 654 28
299 142 -684
161 534 212
485 179 257
420 14 76
944 756 113
361 6 339
929 817 928
719 1007 826
333 840 176
734 392 -623
63 964 -859
193 43 38
596 920 304
972 791 827
734 339 -156
120 840 -50
725 747 71
579 483 -24
661 183 880
269 306 859
395 170 273
390 855 576
558 438 -877
34 41 -886
571 978 -787
601 185 222
950 366 -638
985 157 -806
674 222 -935
278 365 602
804 311 -329
85 812 -61
335 113 -818
189 302 -276
70 984 236
883 41 -91
148 890 714
173 934 157
835 132 -605
906 846 -970
441 809 -238
965 792 572
87 1000 189
594 231 785
961 872 712
165 969 399
435 511 238
333 409 243
191 558 -517
869 413 698
469 954 440
546 741 -790
319 149 -274
406 245 580
437 6 55
1009 653 1006
996 228 -722
836 200 -182
283 713 675
454 934 785
1017 854 -972
616 821 337
137 456 -459
744 27 -10
680 253 366
4 912 -394
40 839 -719
671 127 638
666 22 296
539 471 -1019
866 153 395
467 495 761
444 201 -393
4 566 -766
692 723 472
105 840 -225
257 453 -303
69 593 570
587 567 -765
757 411 -808
616 890 8
533 725 571
760 482 -446
177 231 -865
195 23 882
398 689 -941
479 376 769
591 225 -122
967 900 -681
306 753 -462
363 913 -515
239 770 148
347 484 -646
921 832 110
150 434 -658
328 364 -343
420 230 107
605 243 -231
29 7 -496
179 394 -654
156 272 777
333 783 212
332 870 -592
375 697 142
228 768 -651
686 530 -108
694 69 -337
737 602 -52
601 681 -655
51 55 -218
581 957 418
26 296 207
119 432 954
283 868 -163
625 220 -958
772 453 -724
6 886 786
862 975 280
780 290 -372
757 624 -692
826 326 978
274 318 873
1018 325 -131
42 67 -425
809 64 376
495 597 822
57 398 439
992 891 933
760 100 361
710 436 -418
117 272 173
224 195 -985
970 584 445
615 336 294
861 414 -224
496 783 -450
856 491 -547
992 769 -1019
765 861 40
274 66 495
744 818 934
173 830 -712
701 606 -727
456 104 479
417 387 -270
821 320 259
866 808 -715
542 683 919
397 950 -507
153 509 782
235 226 770
832 373 691
721 994 12
511 91 332
583 741 382
78 256 398
690 756 972
978 377 -793
1010 456 -597
189 435 -83
790 1018 -359
503 203 -781
794 77 101
85 198 271
486 704 958
324 761 -349
890 582 -948
637 585 256
556 921 441
672 615 397
560 936 -906
134 155 -290
2 188 436
862 392 886
701 161 -412
822 219 397
65 423 983
59 899 -615
781 16 967
231 640 -12
304 506 813
211 468 216
707 84 -210
113 28 -164
42 178 -657
879 300 -678
947 360 240
919 1010 -151
389 263 582
871 773 -892
761 29 -613
84 895 -865
506 734 -977
767 351 -972
514 734 -725
560 0 625
675 507 -353
301 403 -336
158 598 531
103 163 -538
315 217 165
428 35 -328
751 977 886
825 546 -195
787 892 241
591 636 -759
116 340 -486
502 968 -266
884 639 -887
315 509 -833
397 808 875
514 863 -791
292 212 -68
925 211 635
280 93 631
59 938 126
248 109 -51
683 967 -49
192 27 858
372 368 370
915 532 -485
983 956 -567
453 795 482
651 311 -482
409 833 -372
280 34 819
933 702 738
449 547 397
298 856 -326
187 179 -797
53 545 -497
900 344 -823
971 898 -220
934 682 872
858 97 -844
466 166 -504
692 1015 -149
81 566 -259
492 191 -867
449 316 427
508 563 -510
1016 986 -155
316 973 617
444 726 -71
280 680 957
587 354 548
838 151 780
978 789 329
380 627 862
741 195 126
456 56 -296
141 468 131
330 409 838
735 556 438
1019 839 718
61 401 -412
141 372 -632
617 274 808
308 392 181
1021 695 230
1016 725 -635
512 300 33
770 306 547
684 902 503
882 125 -506
77 956 -644
376 41 215
971 641 774
332 10 1022
925 278 268
865 799 364
943 844 -680
393 258 -712
23 1010 -510
737 428 -585
155 374 -733
362 873 510
876 801 915
23 784 343
721 642 828
1011 382 -290
46 481 -226
716 363 310
209 593 651
770 662 -344
17 52 -60
38 896 361
55 785 571
644 93 4
837 695 413
511 487 503
800 411 -449
97 10 -215
876 569 133
238 370 -186
550 386 277
586 331 -860
958 815 -304
338 774 373
934 395 433
567 58 940
800 209 -848
357 792 -432
740 589 -147
575 316 -231
62 712 305
583 696 940
556 81 693
506 477 867
847 300 -477
809 562 863
606 903 -661
88 644 -121
968 86 823
207 40 -416
665 464 895
815 908 822
82 159 571
380 134 -147
600 885 -710
496 224 925
41 522 1005
440 246 896
785 136 577
146 939 721
681 856 411
499 670 163
450 643 -624
697 893 -799
326 931 992
475 845 259
461 238 478
420 366 143
975 852 -364
402 275 -217
857 372 747
41 693 -812
833 671 -345
767 248 -742
411 427 -288
794 105 -601
372 972 -788
355 756 -705
395 327 -322
527 264 901
325 408 406
87 291 910
31 964 -891
326 83 903
977 393 -409
105 478 -450
777 414 101
500 638 -697
98 1006 162
769 921 975
534 424 -65
966 891 28
709 553 -457
1009 598 50
112 751 -520
415 493 -625
241 859 -369
154 562 -266
223 119 844
723 207 512
80 66 -740
769 411 -879
259 679 827
238 712 -786
193 242 192
864 544 -656
1005 234 245
724 538 800
478 102 -653
206 953 -557
754 511 -137
630 782 -528
245 755 -356
789 344 918
528 246 390
258 130 947
106 436 336
289 430 17
466 510 -120
835 682 968
981 733 250
581 460 -294
52 899 -862
898 710 -625
721 305 -86
394 299 761
942 779 -506
392 437 -269
813 863 -176
358 173 -297
598 32 -513
259 874 -616
789 518 -377
472 893 304
691 456 1013
867 997 -833
736 695 62
766 79 -57
944 197 -441
29 425 -876
388 199 -428
63 199 857
928 13 -341
317 48 -814
263 363 170
152 191 -342
168 721 549
312 20 -535
435 179 841
136 603 -117
878 269 -763
272 717 -200
242 272 -499
635 224 464
466 322 414
564 884 -733
525 549 -924
127 774 508
329 721 580
482 160 -24
623 91 -417
92 604 133
769 297 864
91 402 646
861 746 900
725 967 692
322 512 499
657 27 -91
122 946 765
907 486 -340
817 714 661
793 935 961
545 61 365
410 740 -484
1009 409 900
645 97 -514
1003 902 923
247 624 -411
726 828 663
936 193 -652
827 261 -83
405 507 854
216 589 -806
10 918 -155
913 484 941
52 967 -859
800 396 -459
932 225 -565
1003 919 45
896 394 397
839 605 522
742 581 -525
765 614 -160
769 160 395
691 256 -992
605 376 -443
868 194 572
374 15 -258
258 695 -879
348 629 -751
914 724 -462
452 816 -61
333 767 846
314 484 -776
841 838 -605
509 626 161
636 191 122
942 797 -614
588 701 243
531 643 -285
783 151 178
209 217 924
205 973 -260
601 534 -749
466 310 -807
215 217 -322
399 259 -913
255 459 -185
861 43 -36
66 748 317
823 49 847
725 403 -584
554 226 625
105 963 519
298 783 769
1015 285 -680
690 533 -876
7 463 639
117 871 -808
996 839 -935
889 518 -781
89 758 993
479 855 -717
104 827 -970
934 643 193
183 387 -111
739 750 396
942 154 -704
341 209 -255
526 830 -833
97 697 8
664 131 -671
1001 137 695
574 45 -733
585 11 974
116 765 560
316 706 -243
134 1008 -392
495 242 -229
1017 64 -165
450 890 -920
127 787 697
884 995 -885
961 622 -862
717 830 -412
543 789 51
86 974 -14
938 344 334
77 614 632
713 381 -263
204 704 1021
947 436 644
744 923 -796
306 346 577
404 698 -982
982 777 824
286 32 -145
339 520 -969
280 787 831
285 194 -135
812 929 277
181 474 584
129 406 -77
935 951 -407
110 107 771
209 227 -844
585 86 -436
465 484 -892
524 737 921
624 678 913
620 277 988
136 57 -42
850 255 -92
951 207 -511
734 855 148
149 51 533
421 276 973
923 763 387
765 303 -747
748 700 738
306 62 613
899 848 507
6 245 -115
84 968 -469
787 158 -995
759 204 -603
603 99 -985
396 968 281
300 124 -1
1022 193 -768
726 983 -468
512 687 -54
57 691 -1022
357 860 -917
532 419 -72
265 872 442
